timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1587873635032,667,SingleUser,200,OK,Master thread Group 1-6,text,true,,1078,125,10,10,https://reqres.in/api/users/2,667,0,503
1587873635031,694,CollectionUsers,200,OK,Master thread Group 1-5,text,true,,1477,125,10,10,https://reqres.in/api/unknown,693,0,519
1587873635030,697,ListUsers,200,OK,Master thread Group 1-9,text,true,,19308,114,10,10,https://reqres.in/,687,0,519
1587873635030,709,CollectionUsers,200,OK,Master thread Group 1-7,text,true,,1477,125,10,10,https://reqres.in/api/unknown,709,0,538
1587873635030,726,CollectionUsers,200,OK,Master thread Group 1-8,text,true,,1477,125,10,10,https://reqres.in/api/unknown,726,0,547
1587873635030,748,SingleUser,200,OK,Master thread Group 1-2,text,true,,1078,125,10,10,https://reqres.in/api/users/2,748,0,566
1587873635032,767,ListUsers,200,OK,Master thread Group 1-3,text,true,,19308,114,10,10,https://reqres.in/,756,0,564
1587873635032,795,ListUsers,200,OK,Master thread Group 1-1,text,true,,19308,114,10,10,https://reqres.in/,781,0,589
1587873635031,818,ListUsers,200,OK,Master thread Group 1-10,text,true,,19308,114,10,10,https://reqres.in/,805,0,601
1587873635030,825,SingleUser,200,OK,Master thread Group 1-4,text,true,,1078,125,10,10,https://reqres.in/api/users/2,825,0,585
1587873635727,164,CollectionUsers,200,OK,Master thread Group 1-9,text,true,,1477,125,10,10,https://reqres.in/api/unknown,163,0,0
1587873635801,177,CollectionUsers,200,OK,Master thread Group 1-3,text,true,,1477,125,10,10,https://reqres.in/api/unknown,177,0,0
1587873635828,184,CollectionUsers,200,OK,Master thread Group 1-1,text,true,,1477,125,10,10,https://reqres.in/api/unknown,184,0,0
1587873635856,183,CollectionUsers,200,OK,Master thread Group 1-4,text,true,,1477,125,10,10,https://reqres.in/api/unknown,182,0,0
1587873635700,753,ListUsers,200,OK,Master thread Group 1-6,text,true,,19308,114,9,9,https://reqres.in/,738,0,553
1587873635740,720,ListUsers,200,OK,Master thread Group 1-7,text,true,,19308,114,8,8,https://reqres.in/,710,0,535
1587873635727,759,SingleUser,200,OK,Master thread Group 1-5,text,true,,1078,125,7,7,https://reqres.in/api/users/2,759,0,571
1587873635757,759,CollectionUsers,200,OK,Master thread Group 1-8,text,true,,1477,125,6,6,https://reqres.in/api/unknown,758,0,563
1587873635780,767,ListUsers,200,OK,Master thread Group 1-2,text,true,,19308,114,5,5,https://reqres.in/,750,0,564
1587873635850,702,SingleUser,200,OK,Master thread Group 1-10,text,true,,1078,125,4,4,https://reqres.in/api/users/2,702,0,530
1587873635892,743,CollectionUsers,200,OK,Master thread Group 1-9,text,true,,1477,125,3,3,https://reqres.in/api/unknown,743,0,559
1587873635980,665,ListUsers,200,OK,Master thread Group 1-3,text,true,,19308,114,2,2,https://reqres.in/,655,0,487
1587873636013,737,SingleUser,200,OK,Master thread Group 1-1,text,true,,1078,125,1,1,https://reqres.in/api/users/2,737,0,544
