timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1594575089766,592,HTTP Request,200,OK,Thread Group 1-1,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,592,0,442
1594575090263,580,HTTP Request,200,OK,Thread Group 1-2,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,580,0,435
1594575090359,575,HTTP Request,200,OK,Thread Group 1-1,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,575,0,436
1594575090935,591,HTTP Request,200,OK,Thread Group 1-1,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,591,0,429
1594575091526,593,HTTP Request,200,OK,Thread Group 1-1,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,593,0,444
1594575090845,1574,HTTP Request,200,OK,Thread Group 1-2,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,1574,0,1428
1594575092120,594,HTTP Request,200,OK,Thread Group 1-1,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,594,0,439
1594575092420,608,HTTP Request,200,OK,Thread Group 1-2,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,608,0,450
1594575092715,589,HTTP Request,200,OK,Thread Group 1-1,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,588,0,441
1594575093029,605,HTTP Request,200,OK,Thread Group 1-2,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,605,0,447
1594575093304,580,HTTP Request,200,OK,Thread Group 1-1,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,579,0,435
1594575093635,571,HTTP Request,200,OK,Thread Group 1-2,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,570,0,425
1594575093884,612,HTTP Request,200,OK,Thread Group 1-1,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,612,0,448
1594575094206,602,HTTP Request,200,OK,Thread Group 1-2,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,602,0,447
1594575094497,627,HTTP Request,200,OK,Thread Group 1-1,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,627,0,461
1594575094809,603,HTTP Request,200,OK,Thread Group 1-2,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,603,0,454
1594575095125,581,HTTP Request,200,OK,Thread Group 1-1,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,581,0,436
1594575095414,611,HTTP Request,200,OK,Thread Group 1-2,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,611,0,460
1594575095707,589,HTTP Request,200,OK,Thread Group 1-1,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,589,0,444
1594575096026,594,HTTP Request,200,OK,Thread Group 1-2,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,594,0,447
1594575096297,572,HTTP Request,200,OK,Thread Group 1-1,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,572,0,428
1594575096620,608,HTTP Request,200,OK,Thread Group 1-2,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,608,0,449
1594575096870,585,HTTP Request,200,OK,Thread Group 1-1,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,583,0,439
1594575097228,615,HTTP Request,200,OK,Thread Group 1-2,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,615,0,455
1594575097456,577,HTTP Request,200,OK,Thread Group 1-1,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,577,0,434
1594575097844,572,HTTP Request,200,OK,Thread Group 1-2,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,572,0,431
1594575098034,587,HTTP Request,200,OK,Thread Group 1-1,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,587,0,442
1594575098416,616,HTTP Request,200,OK,Thread Group 1-2,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,616,0,460
1594575098622,607,HTTP Request,200,OK,Thread Group 1-1,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,607,0,449
1594575099033,590,HTTP Request,200,OK,Thread Group 1-2,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,590,0,444
1594575099229,598,HTTP Request,200,OK,Thread Group 1-1,text,true,,1954,130,2,2,https://reqres.in/api/users?page=2,598,0,442
1594575099623,589,HTTP Request,200,OK,Thread Group 1-2,text,true,,1954,130,1,1,https://reqres.in/api/users?page=2,589,0,443
